customer_id,customer_name,state,city
1,Customer_1,Telangana,Kochi
2,Customer_2,Karnataka,Bangalore
3,Customer_3,Telangana,Hyderabad
4,Customer_4,Kerala,Hyderabad
5,Customer_5,Karnataka,Bangalore
6,Customer_6,Tamil Nadu,Kochi
7,Customer_7,Kerala,Kochi
8,Customer_8,Kerala,Mumbai
9,Customer_9,Karnataka,Mumbai
10,Customer_10,Maharashtra,Hyderabad
11,Customer_11,Tamil Nadu,Chennai
12,Customer_12,Kerala,Kochi
13,Customer_13,Maharashtra,Mumbai
14,Customer_14,Maharashtra,Hyderabad
15,Customer_15,Kerala,Mumbai
16,Customer_16,Tamil Nadu,Mumbai
17,Customer_17,Maharashtra,Kochi
18,Customer_18,Tamil Nadu,Mumbai
19,Customer_19,Karnataka,Bangalore
20,Customer_20,Karnataka,Chennai
21,Customer_21,Tamil Nadu,Kochi
22,Customer_22,Tamil Nadu,Bangalore
23,Customer_23,Telangana,Chennai
24,Customer_24,Maharashtra,Hyderabad
25,Customer_25,Kerala,Mumbai
26,Customer_26,Tamil Nadu,Bangalore
27,Customer_27,Karnataka,Hyderabad
28,Customer_28,Karnataka,Chennai
29,Customer_29,Karnataka,Bangalore
30,Customer_30,Maharashtra,Chennai
31,Customer_31,Maharashtra,Chennai
32,Customer_32,Telangana,Hyderabad
33,Customer_33,Kerala,Kochi
34,Customer_34,Telangana,Hyderabad
35,Customer_35,Karnataka,Chennai
36,Customer_36,Kerala,Mumbai
37,Customer_37,Karnataka,Mumbai
38,Customer_38,Tamil Nadu,Mumbai
39,Customer_39,Telangana,Bangalore
40,Customer_40,Maharashtra,Kochi
41,Customer_41,Kerala,Bangalore
42,Customer_42,Karnataka,Hyderabad
43,Customer_43,Tamil Nadu,Mumbai
44,Customer_44,Kerala,Chennai
45,Customer_45,Karnataka,Chennai
46,Customer_46,Maharashtra,Kochi
47,Customer_47,Maharashtra,Hyderabad
48,Customer_48,Maharashtra,Hyderabad
49,Customer_49,Maharashtra,Bangalore
50,Customer_50,Maharashtra,Kochi
51,Customer_51,Karnataka,Chennai
52,Customer_52,Karnataka,Hyderabad
53,Customer_53,Maharashtra,Bangalore
54,Customer_54,Telangana,Mumbai
55,Customer_55,Kerala,Hyderabad
56,Customer_56,Karnataka,Bangalore
57,Customer_57,Karnataka,Bangalore
58,Customer_58,Kerala,Mumbai
59,Customer_59,Kerala,Mumbai
