product_id,product_name,category,price
1,Product_1,Books,4857
2,Product_2,Electronics,6290
3,Product_3,Fashion,2898
4,Product_4,Home,3529
5,Product_5,Books,4008
6,Product_6,Fashion,5088
7,Product_7,Books,4752
8,Product_8,Home,9395
9,Product_9,Electronics,3520
10,Product_10,Fashion,9878
11,Product_11,Books,5747
12,Product_12,Sports,9545
13,Product_13,Sports,2338
14,Product_14,Home,5663
15,Product_15,Sports,5582
16,Product_16,Fashion,1147
17,Product_17,Books,9707
18,Product_18,Sports,6559
19,Product_19,Fashion,8827
20,Product_20,Books,4654
21,Product_21,Books,7103
22,Product_22,Fashion,9858
23,Product_23,Home,5963
24,Product_24,Fashion,7683
25,Product_25,Sports,1930
26,Product_26,Electronics,855
27,Product_27,Fashion,2227
28,Product_28,Electronics,3408
29,Product_29,Books,7014
30,Product_30,Electronics,4767
31,Product_31,Sports,2117
32,Product_32,Books,6056
33,Product_33,Home,5423
34,Product_34,Fashion,5465
35,Product_35,Sports,8373
36,Product_36,Books,4241
37,Product_37,Home,5892
38,Product_38,Books,1870
39,Product_39,Home,4189
40,Product_40,Fashion,1533
41,Product_41,Electronics,203
42,Product_42,Sports,6659
43,Product_43,Electronics,9114
44,Product_44,Electronics,5760
45,Product_45,Electronics,4524
46,Product_46,Electronics,2213
47,Product_47,Books,4509
48,Product_48,Electronics,8976
49,Product_49,Electronics,2288
50,Product_50,Fashion,2995
51,Product_51,Electronics,9750
52,Product_52,Fashion,671
53,Product_53,Sports,8733
54,Product_54,Sports,301
55,Product_55,Home,4592
56,Product_56,Electronics,541
57,Product_57,Fashion,1752
58,Product_58,Books,3532
59,Product_59,Books,945
60,Product_60,Fashion,1406
61,Product_61,Electronics,1980
62,Product_62,Home,5121
63,Product_63,Electronics,7250
64,Product_64,Electronics,7023
65,Product_65,Home,6990
66,Product_66,Fashion,2725
67,Product_67,Home,3096
68,Product_68,Fashion,5776
69,Product_69,Electronics,5738
70,Product_70,Home,1435
71,Product_71,Electronics,5999
72,Product_72,Books,3710
73,Product_73,Home,7306
74,Product_74,Books,9562
75,Product_75,Fashion,2840
76,Product_76,Home,5071
77,Product_77,Home,3442
78,Product_78,Sports,5636
79,Product_79,Electronics,8480
80,Product_80,Electronics,2946
81,Product_81,Fashion,2647
82,Product_82,Sports,5302
83,Product_83,Electronics,6859
84,Product_84,Home,8416
85,Product_85,Fashion,6910
86,Product_86,Sports,8996
87,Product_87,Sports,6701
88,Product_88,Sports,8289
89,Product_89,Sports,3687
90,Product_90,Home,381
91,Product_91,Sports,7456
92,Product_92,Electronics,4839
93,Product_93,Home,2100
94,Product_94,Books,8928
95,Product_95,Electronics,7996
96,Product_96,Electronics,5086
97,Product_97,Home,2122
98,Product_98,Books,6624
99,Product_99,Sports,5718
100,Product_100,Books,4183
101,Product_101,Fashion,2811
102,Product_102,Sports,7666
103,Product_103,Fashion,8424
104,Product_104,Fashion,6995
105,Product_105,Electronics,6980
106,Product_106,Electronics,1446
107,Product_107,Books,8501
108,Product_108,Books,8444
109,Product_109,Electronics,5518
110,Product_110,Electronics,3696
111,Product_111,Electronics,5878
112,Product_112,Books,4109
113,Product_113,Sports,2693
114,Product_114,Books,2206
115,Product_115,Books,2303
116,Product_116,Fashion,1363
117,Product_117,Sports,3237
118,Product_118,Home,7799
119,Product_119,Books,7019
120,Product_120,Fashion,3334
121,Product_121,Electronics,1924
122,Product_122,Electronics,7699
123,Product_123,Fashion,1176
124,Product_124,Electronics,1292
125,Product_125,Electronics,8759
126,Product_126,Home,880
127,Product_127,Fashion,7438
128,Product_128,Electronics,2815
129,Product_129,Books,6164
130,Product_130,Fashion,8039
131,Product_131,Sports,1155
132,Product_132,Books,9645
133,Product_133,Electronics,4899
134,Product_134,Home,1771
135,Product_135,Books,2018
136,Product_136,Books,5635
137,Product_137,Home,5438
138,Product_138,Home,7392
